,Month,Station,CO,NO2,O3,PM 10,SO2,Temperature,Humidity,Wind velocity
0,Jan,Atemajac,1.2836465053763442,0.030374395161290323,0.02228567204301075,43.410645161290326,0.0023899596774193546,18.828763440860214,44.575268817204304,3.4938172043010756
1,Jan,Las Aguilas,0.9366669354838709,0.0399533064516129,0.022167123655913976,29.725833333333334,0.0019929166666666667,18.183064516129033,45.43454301075269,3.383198924731183
2,Jan,Las Pintas,1.284857930107527,0.021784395161290323,0.022853427419354838,45.49991935483871,0.0035334005376344087,20.42795698924731,47.365591397849464,1.6810483870967743
3,Jan,Loma Dorada,1.2604475806451614,0.030941908602150535,0.01837364247311828,36.92354838709677,0.002947244623655914,18.570967741935483,45.64208333333333,1.2670698924731183
4,Jan,Miravalle,1.0940833333333333,0.020895967741935483,0.023346814516129032,86.52212365591397,0.004510900537634409,21.219623655913978,42.913709677419355,3.4666666666666663
5,Jan,Oblatos,1.1987862903225808,0.023732983870967745,0.022454220430107523,37.540362903225805,0.003913817204301075,19.504032258064516,47.06572580645162,2.93991935483871
6,Jan,Tlaquepaque,1.4010852150537636,0.029723028225806452,0.014980625000000001,40.22851209677419,0.002879293010752688,19.0002688172043,42.02244623655914,2.3122311827956987
7,Jan,Vallarta,0.6681601209677419,0.022092857526881723,0.026732755376344085,36.89311827956989,0.0022684005376344086,19.96559139784946,44.57002688172043,3.338709677419355
8,Feb,Atemajac,1.1634396551724138,0.03163323275862069,0.031544385057471265,47.13349137931035,0.0023223850574712645,22.360919540229887,39.69626436781609,3.6063218390804597
9,Feb,Las Aguilas,0.9409770562770562,0.04169329292929293,0.024901082251082254,35.32415584415585,0.0006665800865800866,20.744155844155845,43.621212121212125,3.2392496392496395
10,Feb,Las Pintas,0.9740824712643679,0.023268491379310346,0.026104870689655172,46.81728448275862,0.0036531896551724135,23.127298850574714,43.54525862068966,1.7022988505747125
11,Feb,Loma Dorada,1.1378563218390805,0.0317057183908046,0.0216971408045977,45.09007183908046,0.006922758620689654,21.050718390804597,43.68692528735632,1.3204022988505748
12,Feb,Miravalle,1.1149238505747125,0.02841612068965517,0.023267629310344828,68.74777298850574,0.004632155172413793,23.673132183908045,40.439655172413794,2.57183908045977
13,Feb,Oblatos,1.1207170977011494,0.02395564655172414,0.026266272988505746,40.280933908045974,0.0041833045977011495,22.019109195402297,44.97658045977012,3.054454022988506
14,Feb,Tlaquepaque,1.2022584770114941,0.030591235632183907,0.01606140804597701,42.98787356321839,0.0028839468390804597,21.512356321839082,39.75560344827586,2.4823275862068965
15,Feb,Vallarta,0.9659021551724138,0.023547810344827586,0.031417772988505746,42.15181034482759,0.0019758189655172415,22.5125,42.86206896551724,3.3251436781609196
16,Mar,Atemajac,0.9581626344086022,0.023422271505376343,0.019569180107526882,33.52361559139785,0.0020693817204301074,22.377419354838707,39.564112903225805,4.346908602150537
17,Mar,Las Aguilas,0.7184534412955466,0.03302491228070176,0.023266059379217274,25.155910931174088,0.0005824831309041835,21.582995951417004,41.084075573549256,4.369635627530364
18,Mar,Las Pintas,0.6779427419354839,0.02068422043010753,0.024394427419354835,44.352674731182795,0.003164516129032258,24.166129032258063,40.54099462365591,2.0709677419354837
19,Mar,Loma Dorada,0.9713411290322581,0.02599934139784946,0.019684771505376345,35.36510752688172,0.007260893817204301,21.971102150537636,41.60672043010753,1.5346774193548387
20,Mar,Miravalle,0.8012405913978495,0.0179472311827957,0.02096978494623656,71.37158602150538,0.0038194758064516126,23.550672043010753,41.4494623655914,2.761559139784946
21,Mar,Oblatos,0.8557752355316286,0.017929340511440107,0.02353555854643338,31.64316285329744,0.0034995154777927324,22.753028263795425,43.890713324360696,3.6877523553162854
22,Mar,Tlaquepaque,0.9990524193548387,0.02343353494623656,0.017916014784946237,30.581895161290323,0.002545393817204301,22.404973118279568,38.00114247311828,3.0091397849462367
23,Mar,Vallarta,0.697835752688172,0.01667310887096774,0.028616424731182796,29.944798387096775,0.0017078629032258065,23.306048387096777,40.61827956989247,4.1499999999999995
24,Apr,Atemajac,1.01065,0.024165930555555555,0.027327055555555556,38.32809722222222,0.0021083194444444443,23.20638888888889,34.92805555555556,4.544166666666667
25,Apr,Las Aguilas,0.7357958333333333,0.02535647222222222,0.026447138888888888,29.699361111111113,0.0005616250000000001,22.35111111111111,36.33680555555556,4.363472222222222
26,Apr,Las Pintas,0.7940583333333333,0.021670194444444443,0.022858986111111108,41.588055555555556,0.0037545138888888893,24.988472222222224,36.440416666666664,2.1644444444444444
27,Apr,Loma Dorada,0.9808105555555555,0.026252625,0.021594080555555558,37.04408333333333,0.003605066666666667,22.998472222222226,36.24652777777778,1.9251388888888887
28,Apr,Miravalle,0.9312180555555555,0.019447875,0.020621624999999998,50.13879166666667,0.004018333333333334,24.24777777777778,37.14833333333333,3.0597222222222222
29,Apr,Oblatos,0.9249499304589708,0.017363240611961057,0.027564631432545204,37.33100139082059,0.0037175104311543816,24.5442280945758,42.842280945758,3.9493741307371346
30,Apr,Tlaquepaque,1.0051444444444444,0.023393861111111112,0.020551069444444445,34.87752777777778,0.002912097222222222,23.144444444444446,33.665,3.191388888888889
31,Apr,Vallarta,0.8702783333333334,0.016115947222222222,0.031938319444444446,30.71120833333333,0.0016913194444444445,24.10036111111111,35.853208333333335,4.329166666666667
32,May,Atemajac,0.9337086021505376,0.01892616935483871,0.03142267473118279,42.88954301075269,0.0020445120967741938,25.20510752688172,38.26706989247312,4.684543010752688
