,Hour,Station,CO,NO2,O3,PM 10,SO2,Temperature,Humidity,Wind velocity
0,1,Atemajac,0.9527185792349726,0.02152849726775956,0.016503005464480875,38.058633879781425,0.0018895628415300546,20.083879781420766,55.08606557377049,3.3
1,1,Las Aguilas,0.7024071038251367,0.02599158469945355,0.018167704918032785,23.750109289617484,0.0012253825136612022,19.4603825136612,57.080327868852464,3.3486338797814206
2,1,Las Pintas,0.8642521008403362,0.024903837535014007,0.015277086834733894,50.81675070028012,0.0036445938375350142,21.394117647058824,60.47647058823529,1.788235294117647
3,1,Loma Dorada,1.0587158469945355,0.029634863387978144,0.01205584699453552,42.26622950819672,0.003449972677595628,20.02622950819672,56.23989071038251,1.1311475409836065
4,1,Miravalle,1.0714071038251365,0.023063551912568304,0.015368852459016393,60.33860655737705,0.00331655737704918,21.414207650273227,57.005737704918026,2.018852459016393
5,1,Oblatos,0.9144590163934426,0.019945792349726776,0.01694224043715847,37.14743169398908,0.0035977868852459013,21.247267759562842,62.85628415300547,3.072950819672131
6,1,Tlaquepaque,1.1609207650273223,0.02637896174863388,0.011372349726775956,39.24475409836066,0.0028281147540983606,19.787158469945357,53.64754098360656,2.158743169398907
7,1,Vallarta,0.8502363387978142,0.0185635956284153,0.022067103825136613,30.815218579234976,0.0019433060109289618,21.071584699453553,56.86092896174863,3.171311475409836
8,2,Atemajac,0.8590737704918032,0.01918101092896175,0.016562240437158468,36.298060109289615,0.001853551912568306,19.362295081967215,57.92049180327869,2.925409836065574
9,2,Las Aguilas,0.6624043715846994,0.025622841530054643,0.01738704918032787,23.82464480874317,0.0011999180327868853,18.845081967213115,59.19153005464481,2.769672131147541
10,2,Las Pintas,0.8694449035812672,0.02388749311294766,0.014832314049586777,51.39201101928374,0.003677658402203857,20.56831955922865,63.68650137741047,1.56198347107438
11,2,Loma Dorada,0.9191857923497269,0.025974180327868853,0.013264207650273224,37.76532786885246,0.0033977595628415297,19.345901639344262,58.59726775956284,1.008743169398907
12,2,Miravalle,1.003464480874317,0.021771967213114755,0.01521207650273224,59.95994535519126,0.0032684972677595628,20.722950819672132,59.57076502732241,1.6907103825136611
13,2,Oblatos,0.7379754098360656,0.017085573770491806,0.017804754098360655,36.130409836065574,0.00345303825136612,20.511475409836066,65.43224043715847,2.7827868852459017
14,2,Tlaquepaque,0.9626393442622951,0.023768879781420765,0.011629781420765027,38.02669398907104,0.0024879234972677595,19.093169398907104,56.11065573770492,1.8759562841530055
15,2,Vallarta,0.8233210382513662,0.01707502732240437,0.021920792349726773,30.060136612021857,0.001938415300546448,20.43606557377049,59.07677595628415,2.7508196721311475
16,3,Atemajac,0.8044180327868852,0.018018142076502732,0.01610795081967213,33.91647540983607,0.001800382513661202,18.74672131147541,60.08469945355191,2.552185792349727
17,3,Las Aguilas,0.6158027397260274,0.02485490410958904,0.016792739726027395,22.815315068493152,0.001172054794520548,18.277534246575343,61.07616438356164,2.46986301369863
18,3,Las Pintas,0.8345898071625344,0.02345137741046832,0.013956126721763084,48.20641873278237,0.0036701101928374655,19.911570247933884,66.38071625344352,1.4898071625344351
19,3,Loma Dorada,0.8109185792349727,0.02342486338797814,0.013966147540983605,32.1822131147541,0.0033430054644808744,18.768032786885247,60.46885245901639,0.8669398907103826
20,3,Miravalle,0.9500382513661202,0.02083393442622951,0.01525530054644809,60.87234972677595,0.0032560928961748634,20.13879781420765,61.58715846994536,1.5234972677595628
21,3,Oblatos,0.6560710382513661,0.015259972677595627,0.018192185792349727,33.73587431693989,0.0033056311475409836,19.895628415300546,67.37677595628416,2.433879781420765
22,3,Tlaquepaque,0.934603825136612,0.02219486338797814,0.011636352459016395,36.00346994535519,0.002644849726775956,18.493989071038254,58.109426229508195,1.6510928961748632
23,3,Vallarta,0.8141786885245902,0.016737453551912567,0.021015819672131147,29.47224043715847,0.0019426502732240438,19.849180327868854,61.089344262295086,2.4972677595628414
24,4,Atemajac,0.786016393442623,0.017479863387978144,0.015478573770491803,32.6579781420765,0.0017765300546448085,18.222404371584698,61.88934426229508,2.3281420765027323
25,4,Las Aguilas,0.6010904109589041,0.024690410958904112,0.01553967123287671,21.85753424657534,0.001172904109589041,17.753424657534246,62.755616438356164,2.1953424657534244
26,4,Las Pintas,0.8201703296703295,0.022904175824175827,0.013073846153846153,45.41912087912088,0.0036725,19.32857142857143,68.92747252747252,1.3181318681318681
27,4,Loma Dorada,0.8699245901639344,0.021789480874316938,0.014352650273224044,28.378524590163938,0.0032352513661202185,18.27021857923497,62.22267759562842,0.7920765027322404
28,4,Miravalle,0.9113743169398907,0.02086478142076503,0.014630573770491805,62.41251366120218,0.00329120218579235,19.614207650273226,63.50901639344262,1.3412568306010928
29,4,Oblatos,0.6344262295081967,0.014591038251366121,0.017759426229508195,32.70871584699454,0.0032562568306010926,19.350273224043715,69.10382513661202,2.1775956284153004
30,4,Tlaquepaque,0.8473333333333334,0.02144193989071038,0.011374180327868853,34.44789617486339,0.002512021857923497,18.00054644808743,59.74098360655738,1.4748633879781419
31,4,Vallarta,0.7895448087431695,0.016123038251366118,0.02059704918032787,28.864371584699455,0.0019390163934426229,19.36174863387978,62.586612021857924,2.2188524590163934
