,Date,CO,NO2,O3,PM 10,SO2,Temperature,Humidity,Wind velocity
0,2016-01-01,1.7287083333333333,0.023657135416666666,0.017694010416666666,55.246874999999996,0.0032154166666666668,21.203645833333333,62.432812500000004,1.7692708333333333
1,2016-01-02,1.21264375,0.030538333333333334,0.020074479166666666,38.89666666666667,0.002867864583333333,19.340625,40.762499999999996,2.68125
2,2016-01-03,0.7651249999999999,0.0235434375,0.025310729166666667,35.69901041666667,0.003332291666666666,22.472395833333334,39.535937499999996,2.689583333333333
3,2016-01-04,0.6305208333333333,0.01724703125,0.026833697916666666,33.11208333333334,0.002843385416666667,23.109895833333336,33.096354166666664,5.1984375
4,2016-01-05,0.9081145833333334,0.023953125000000002,0.04182265625,41.07338541666667,0.00255328125,25.33020833333333,20.337500000000002,3.491145833333333
5,2016-01-06,0.6641197916666667,0.014657499999999999,0.033686041666666666,36.81192708333333,0.0022872395833333334,27.295833333333334,38.27760416666667,4.360416666666667
6,2016-01-07,0.72284375,0.017442552083333333,0.035121458333333334,22.8978125,0.00183546875,23.938541666666666,63.85,2.685416666666667
7,2016-01-08,0.6770312500000001,0.015566979166666666,0.024281614583333333,25.875208333333333,0.0021995833333333333,23.788541666666664,65.81979166666666,2.7708333333333335
8,2016-01-09,0.7111302083333334,0.019604479166666668,0.02501453125,35.2284375,0.0022492708333333336,22.639583333333334,75.95937500000001,2.9093750000000003
9,2016-01-10,0.7021614583333333,0.018515625,0.018645260416666667,40.766302083333336,0.00243484375,22.25572916666667,75.10572916666666,2.222395833333333
10,2016-01-11,1.3475729166666666,0.0266271875,0.024103489583333332,40.21458333333333,0.0027848958333333332,22.751041666666666,47.634375,1.7833333333333332
11,2016-01-12,0.9685781250000001,0.01949828125,0.0101915625,68.1728125,0.0029896874999999997,21.115624999999998,64.0,2.464583333333333
12,2016-01-13,1.04715625,0.022804166666666667,0.008998567708333334,37.873296875,0.0031933854166666664,16.169270833333332,66.4015625,2.803645833333333
13,2016-01-14,1.115484375,0.022443333333333332,0.015005208333333332,37.27697916666667,0.0034283333333333336,16.740104166666665,53.66458333333333,3.305729166666667
14,2016-01-15,1.2665625,0.03078625,0.019731197916666665,45.270625,0.0032964583333333335,16.6796875,41.3203125,2.74375
15,2016-01-16,1.6630885416666665,0.038478697916666665,0.017395416666666667,53.58703125,0.004324947916666666,17.236458333333335,33.807812500000004,2.2515625
16,2016-01-17,1.4136989583333335,0.032849375,0.02551229166666667,49.53234375,0.003094375,17.524479166666666,29.730729166666666,2.6713541666666667
17,2016-01-18,1.4986302083333334,0.03461541666666667,0.021123229166666663,49.12385416666667,0.0034776041666666666,17.876041666666666,35.700520833333336,2.3932291666666665
18,2016-01-19,1.4268697916666666,0.03487552083333333,0.022711093749999998,57.77015625000001,0.003522135416666667,17.347916666666666,34.74583333333333,2.1453124999999997
19,2016-01-20,1.570640625,0.040907864583333335,0.023881614583333332,65.56760416666667,0.003263828125,17.702083333333334,38.925000000000004,1.7552083333333333
20,2016-01-21,1.703734375,0.04355791666666667,0.02328015625,58.367604166666666,0.0038128125000000002,18.4421875,38.809374999999996,1.4041666666666668
21,2016-01-22,1.72121875,0.04287755208333333,0.018644739583333333,61.41947916666667,0.00397578125,18.1375,27.965625,2.0942708333333333
22,2016-01-23,1.5522031250000001,0.04161526041666667,0.0247421875,63.345677083333335,0.0034308229166666667,18.149479166666666,26.5828125,1.9239583333333332
23,2016-01-24,1.3231458333333335,0.034768802083333335,0.025650520833333332,50.63703125,0.0028125000000000003,17.9578125,37.739062499999996,2.5322916666666666
24,2016-01-25,1.2240416666666667,0.029295,0.013898541666666667,48.692187499999996,0.0029754166666666666,16.372916666666665,45.828125,2.1255208333333333
25,2016-01-26,0.9889735416666667,0.022742083333333333,0.012869322916666667,39.537083333333335,0.0029915625,17.0984375,46.10885416666667,3.552604166666667
26,2016-01-27,0.9041859895833334,0.021216718750000002,0.01626546875,39.02921875,0.002538489583333333,15.828125,47.8109375,3.3541666666666665
27,2016-01-28,0.6994630208333333,0.021644406249999998,0.023426770833333332,38.018229166666664,0.0027473437500000002,14.040625,37.60572916666667,4.766666666666667
28,2016-01-29,0.9957114583333334,0.03213788020833334,0.022798125,40.76744791666667,0.003929015625,16.7375,28.851614583333333,2.0833333333333335
29,2016-01-30,1.0971197916666666,0.02562296875,0.012776614583333333,42.21546875,0.0031460416666666668,19.075520833333332,44.08645833333333,3.7651041666666667
30,2016-01-31,1.1194901041666667,0.026467135416666666,0.019637239583333334,30.35682291666667,0.00313515625,18.980729166666666,50.91197916666667,2.097395833333333
31,2016-02-01,0.7376647368421052,0.018654842105263157,0.017267263157894737,46.020736842105265,0.002675342105263158,21.233684210526317,61.37421052631579,2.6357894736842105
32,2016-02-02,1.2301614583333333,0.029458489583333334,0.020214947916666667,43.783489583333335,0.002799895833333333,19.09375,33.68385416666667,3.202083333333333
33,2016-02-03,0.8005526041666666,0.02546040625,0.027156072916666666,37.936770833333334,0.003146989583333333,22.563541666666666,34.28697916666667,2.9458333333333333
34,2016-02-04,0.8821927083333333,0.026815625,0.022894583333333333,36.91197916666667,0.0031807291666666668,22.93177083333333,25.040625000000002,3.866145833333333
35,2016-02-05,1.119640625,0.029352135416666664,0.03556052083333333,50.5303125,0.0029729166666666667,26.9328125,24.995833333333334,3.1296874999999997
36,2016-02-06,0.6559583333333333,0.0152353125,0.03422083333333333,37.249322916666664,0.0025102083333333335,26.934375,41.59583333333333,4.2437499999999995
