,Date,Station,CO,NO2,O3,PM 10,SO2,Temperature,Humidity,Wind velocity
0,2016-01-01,Atemajac,1.38275,0.025950416666666667,0.018440416666666667,56.328333333333326,0.0018191666666666666,20.554166666666667,61.05416666666667,2.470833333333333
1,2016-01-01,Las Aguilas,1.034125,0.022457916666666664,0.021055833333333333,31.462500000000002,0.00126,20.191666666666666,63.1625,2.2916666666666665
2,2016-01-01,Las Pintas,3.128083333333333,0.022599166666666667,0.018679583333333333,41.21,0.00342,22.47083333333333,65.11666666666666,0.9833333333333334
3,2016-01-01,Loma Dorada,1.6127083333333332,0.026988333333333333,0.01421875,62.49541666666667,0.00237,20.645833333333332,63.020833333333336,0.7333333333333334
4,2016-01-01,Miravalle,3.0699583333333336,0.030681249999999997,0.0142875,106.37124999999999,0.007042916666666667,22.0,64.03333333333333,1.5291666666666668
5,2016-01-01,Oblatos,0.8440833333333333,0.019852916666666668,0.01770333333333333,54.16958333333333,0.0037520833333333334,21.008333333333333,62.725,2.2958333333333334
6,2016-01-01,Tlaquepaque,2.0860833333333333,0.026332083333333336,0.011994166666666667,58.47125,0.0027591666666666667,20.833333333333332,58.72083333333333,1.4749999999999999
7,2016-01-01,Vallarta,0.671875,0.014395,0.0251725,31.46666666666667,0.0032999999999999995,21.925,61.62916666666666,2.375
8,2016-01-02,Atemajac,1.0329583333333334,0.031704166666666665,0.022911249999999998,36.52041666666667,0.0021941666666666667,18.529166666666665,43.65416666666667,3.7541666666666664
9,2016-01-02,Las Aguilas,0.751125,0.04472958333333333,0.0214075,26.715,0.0020358333333333335,18.358333333333334,41.329166666666666,3.233333333333333
10,2016-01-02,Las Pintas,1.8467916666666666,0.021474999999999998,0.019325833333333334,41.21,0.00342,20.358333333333334,39.97083333333333,1.7958333333333334
11,2016-01-02,Loma Dorada,1.33575,0.035257083333333335,0.017482083333333332,44.03041666666667,0.0009970833333333333,19.041666666666668,40.324999999999996,1.4791666666666667
12,2016-01-02,Miravalle,1.4873750000000001,0.026476250000000003,0.016224583333333334,47.40166666666667,0.005135,20.154166666666665,40.25833333333333,2.8708333333333336
13,2016-01-02,Oblatos,1.176125,0.025252916666666667,0.024246666666666666,38.16583333333333,0.0039033333333333333,19.150000000000002,40.604166666666664,3.141666666666667
14,2016-01-02,Tlaquepaque,1.5117083333333332,0.035922916666666665,0.012655833333333333,46.79625000000001,0.0032975,19.070833333333333,37.958333333333336,2.0708333333333333
15,2016-01-02,Vallarta,0.5593166666666667,0.02348875,0.026342083333333335,30.33375,0.00196,20.0625,42.0,3.1041666666666665
16,2016-01-03,Atemajac,0.8705833333333333,0.02591,0.02709125,35.931666666666665,0.0030429166666666664,21.337500000000002,39.954166666666666,3.5500000000000003
17,2016-01-03,Las Aguilas,0.6472083333333333,0.04274583333333334,0.021743750000000003,23.372916666666665,0.00015,20.650000000000002,41.020833333333336,3.0500000000000003
18,2016-01-03,Las Pintas,0.794,0.01771041666666667,0.0246775,41.21,0.00342,23.616666666666664,41.237500000000004,1.6624999999999999
19,2016-01-03,Loma Dorada,0.9159166666666666,0.02550875,0.019995,32.607083333333335,0.00968,21.1375,43.262499999999996,1.1583333333333334
20,2016-01-03,Miravalle,0.6670000000000001,0.01952,0.04077,65.15875,0.00211,27.458333333333332,28.941666666666666,3.6875
21,2016-01-03,Oblatos,0.7540416666666667,0.018904583333333332,0.02585583333333333,34.09291666666667,0.003717083333333333,21.65416666666667,41.99166666666667,2.9458333333333333
22,2016-01-03,Tlaquepaque,0.95275,0.02323875,0.013997916666666665,26.892083333333332,0.0026912499999999996,21.570833333333336,38.72083333333333,2.1958333333333333
23,2016-01-03,Vallarta,0.5195,0.014809166666666667,0.028354583333333332,26.326666666666668,0.0018470833333333334,22.354166666666668,41.15833333333334,3.266666666666667
24,2016-01-04,Atemajac,0.68,0.015575416666666666,0.030190833333333333,25.644166666666667,0.00144,22.579166666666666,30.920833333333334,6.916666666666667
25,2016-01-04,Las Aguilas,0.50075,0.029592499999999997,0.026732916666666665,17.703333333333333,0.00015,21.84583333333333,35.395833333333336,6.733333333333333
26,2016-01-04,Las Pintas,0.439,0.015667916666666667,0.027985,41.21,0.003495416666666667,24.708333333333332,32.69583333333333,3.8000000000000003
27,2016-01-04,Loma Dorada,0.8303333333333334,0.020950416666666666,0.0362075,37.74791666666667,0.006622083333333333,22.412499999999998,33.92916666666667,2.8541666666666665
28,2016-01-04,Miravalle,0.6592083333333333,0.012820833333333332,0.013684583333333333,68.97,0.0037,23.991666666666664,34.65,4.654166666666667
29,2016-01-04,Oblatos,0.6370833333333333,0.012983333333333333,0.027801666666666666,22.968333333333334,0.003435,22.925,32.43333333333333,5.579166666666667
30,2016-01-04,Tlaquepaque,0.7914583333333334,0.020264583333333332,0.020595416666666668,27.33375,0.0023845833333333336,22.833333333333332,31.09583333333333,4.791666666666667
31,2016-01-04,Vallarta,0.5063333333333333,0.01012125,0.03147166666666667,23.319166666666664,0.0015199999999999999,23.583333333333332,33.65,6.258333333333333
32,2016-01-05,Atemajac,0.9262083333333333,0.02552,0.04524458333333334,38.40708333333333,0.0014995833333333335,24.695833333333336,21.416666666666668,4.5625
33,2016-01-05,Las Aguilas,0.7640833333333333,0.024793333333333334,0.04502791666666667,34.01916666666667,0.00015,24.120833333333334,18.520833333333332,3.9375
34,2016-01-05,Las Pintas,0.8509583333333333,0.024595416666666665,0.044326250000000005,88.2925,0.0038500000000000006,26.8,15.916666666666666,2.25
