,Day of week,Station,CO,NO2,O3,PM 10,SO2,Temperature,Humidity,Wind velocity
0,1,Atemajac,1.1427303685897436,0.02236473557692308,0.023858847756410256,36.927011217948724,0.0019584535256410257,22.229567307692307,48.39294871794872,3.6873397435897437
1,1,Las Aguilas,0.8682506024096386,0.0284484016064257,0.02463610441767068,25.186152610441766,0.0013295823293172691,20.858072289156627,52.48168674698795,3.6253815261044178
2,1,Las Pintas,0.8396145278450363,0.023831476997578694,0.025341614205004036,55.08190476190476,0.003672905569007264,23.430185633575466,53.01493139628733,1.8548829701372074
3,1,Loma Dorada,1.0579426282051283,0.02544065705128205,0.020660969551282053,36.356274038461535,0.003562612179487179,21.656490384615385,51.080128205128204,1.4459134615384615
4,1,Miravalle,1.108133012820513,0.023282035256410254,0.020303709935897436,68.46188301282051,0.003304871794871795,22.891025641025642,52.27011217948718,2.5227564102564104
5,1,Oblatos,0.9213133012820512,0.019045272435897435,0.02489346955128205,36.31724358974359,0.0034114903846153843,22.875641025641023,57.52892628205129,3.383573717948718
6,1,Tlaquepaque,1.0365331996792302,0.02358129911788292,0.018928748997594228,36.19225340817963,0.0022561154771451484,21.87273456295108,47.71900561347233,2.784522854851644
7,1,Vallarta,0.9460245993589743,0.020008141025641024,0.030871562499999998,33.29325320512821,0.001957628205128205,22.689182692307693,51.24695512820512,3.6578525641025643
8,2,Atemajac,1.15730625,0.022163389423076923,0.024012876602564102,40.82420753205128,0.0020326121794871795,22.550560897435897,47.78269230769231,3.789823717948718
9,2,Las Aguilas,0.8584293739967898,0.02825089085072231,0.024049156500802568,27.654438202247192,0.0013670465489566614,21.068459069020868,52.158507223113965,3.6946227929373996
10,2,Las Pintas,0.835211038961039,0.022831331168831168,0.025616144480519482,54.50561688311688,0.003710965909090909,23.5875,53.47037337662338,1.8668831168831168
11,2,Loma Dorada,1.0538548076923078,0.026228405448717948,0.019805224358974357,36.860448717948714,0.0032216674679487176,21.466346153846153,52.67027243589744,1.3327724358974358
12,2,Miravalle,1.0528589743589745,0.02224326923076923,0.021074727564102565,63.66528044871795,0.0035810737179487176,23.09863782051282,52.37131410256411,2.4881410256410255
13,2,Oblatos,0.9365613472333602,0.018833513231756215,0.024589262229350442,39.27065757818765,0.0036532004811547715,23.210825982357658,57.26567762630313,3.3363271852445866
14,2,Tlaquepaque,1.0744218123496392,0.024036267842822773,0.018436968724939856,42.24765838011227,0.002485709703287891,22.00850040096231,48.08652766639936,2.670008019246191
15,2,Vallarta,0.958723733974359,0.018990616987179486,0.029762996794871793,35.12403044871795,0.001899959935897436,22.848557692307693,51.07227564102564,3.6666666666666665
16,3,Atemajac,1.107283012820513,0.021953741987179486,0.02376766826923077,36.27113782051282,0.0020388116987179487,22.625641025641023,47.48645833333333,3.83349358974359
17,3,Las Aguilas,0.833424959871589,0.029695820224719106,0.023369096308186194,26.363507223113967,0.0014084670947030497,21.162118780096307,51.72479935794542,3.823194221508828
18,3,Las Pintas,0.7324959415584416,0.022489594155844155,0.02450189935064935,51.1057224025974,0.003657118506493507,23.728246753246754,52.57711038961039,1.895698051948052
19,3,Loma Dorada,0.9758341346153845,0.025348108974358977,0.018870576923076924,37.29886217948718,0.003455887980769231,21.600240384615383,52.159375000000004,1.4626602564102564
20,3,Miravalle,0.9969326923076923,0.022390576923076923,0.019970753205128207,65.43373397435897,0.003334214743589744,23.06201923076923,52.18541666666667,2.4728365384615385
21,3,Oblatos,0.9249601762820513,0.018711089743589742,0.02377924358974359,36.060665064102565,0.0036664503205128206,23.18947916666667,56.94396634615385,3.414342948717949
22,3,Tlaquepaque,0.9907660256410258,0.023318229166666666,0.017662417467948718,34.52831169871795,0.002422411137820513,22.12139423076923,47.32748397435897,2.8595352564102563
23,3,Vallarta,0.9525260817307691,0.019247084134615386,0.029727083333333335,31.553709935897434,0.0019467227564102564,22.963541666666668,50.60488782051282,3.7809294871794874
24,4,Atemajac,1.1623253205128206,0.023001290064102564,0.022812660256410256,36.759070512820514,0.0019780689102564105,22.01386217948718,47.081490384615385,3.707211538461539
25,4,Las Aguilas,0.8451732157177225,0.031275100240577385,0.023690505212510024,25.607666399358457,0.0013586367281475543,20.8785084202085,49.91323175621492,3.7210906174819565
26,4,Las Pintas,0.770142705786471,0.025382159739201306,0.02430035044824776,52.36537897310514,0.003744661776691117,23.44523227383863,50.883781581092094,1.8726976365118175
27,4,Loma Dorada,1.0058979166666666,0.026579487179487177,0.019072733173076922,38.219049679487185,0.0034902083333333334,21.148557692307694,51.0504407051282,1.405128205128205
28,4,Miravalle,1.0631714743589744,0.02431411057692308,0.019564334935897435,69.77661057692308,0.0033705528846153846,22.781810897435896,50.29807692307692,2.415224358974359
29,4,Oblatos,0.9332606255012029,0.0204087730553328,0.023493857257417802,35.3728067361668,0.0035278909382518045,22.80793905372895,55.74153969526864,3.3157177225340817
30,4,Tlaquepaque,1.053645032051282,0.025470240384615386,0.017334863782051284,34.77855769230769,0.0025465224358974356,21.73589743589744,46.1604967948718,2.715544871794872
31,4,Vallarta,0.9059270112179487,0.019949398237179488,0.029475440705128204,30.89889423076923,0.0019367628205128205,22.56298076923077,49.426602564102566,3.6405448717948716
32,5,Atemajac,1.1829056603773584,0.02396989779874214,0.02184814465408805,37.391501572327044,0.0021133805031446538,22.286556603773583,47.47389937106919,3.7169811320754715
33,5,Las Aguilas,0.8492950432730133,0.029338646734854444,0.022825877261998428,26.64409126671912,0.0014844610542879622,21.093469708890638,50.51581431943352,3.7259638080251767
